"Messstellennummer";"Messstellenbezeichnung";"Datum";"Abfluss in m³/s"
2377050700;Siebeldingen Queich;12.3.2021;1.3729
2377050700;Siebeldingen Queich;13.3.2021;1.9138
2377050700;Siebeldingen Queich;14.3.2021;2.2327
2377050700;Siebeldingen Queich;15.3.2021;2.064
2377050700;Siebeldingen Queich;16.3.2021;1.5901
2377050700;Siebeldingen Queich;17.3.2021;1.482
2377050700;Siebeldingen Queich;18.3.2021;1.3784
2377050700;Siebeldingen Queich;19.3.2021;1.4361
2377050700;Siebeldingen Queich;20.3.2021;1.3008
2377050700;Siebeldingen Queich;21.3.2021;1.2694
2377050700;Siebeldingen Queich;22.3.2021;1.2629
2377050700;Siebeldingen Queich;23.3.2021;1.2216
2377050700;Siebeldingen Queich;24.3.2021;1.1794
2377050700;Siebeldingen Queich;25.3.2021;1.1781
2377050700;Siebeldingen Queich;26.3.2021;1.1769
2377050700;Siebeldingen Queich;27.3.2021;1.1631
2377050700;Siebeldingen Queich;28.3.2021;1.1212
2377050700;Siebeldingen Queich;29.3.2021;1.1002
2377050700;Siebeldingen Queich;30.3.2021;1.0745
2377050700;Siebeldingen Queich;31.3.2021;1.0789
2377050700;Siebeldingen Queich;1.4.2021;1.0916
2377050700;Siebeldingen Queich;2.4.2021;1.0638
2377050700;Siebeldingen Queich;3.4.2021;1.0699
2377050700;Siebeldingen Queich;4.4.2021;1.0472
2377050700;Siebeldingen Queich;5.4.2021;1.1083
2377050700;Siebeldingen Queich;6.4.2021;1.1122
2377050700;Siebeldingen Queich;7.4.2021;1.0583
2377050700;Siebeldingen Queich;8.4.2021;1.0371
2377050700;Siebeldingen Queich;9.4.2021;1.0228
2377050700;Siebeldingen Queich;10.4.2021;1.0534
2377050700;Siebeldingen Queich;11.4.2021;1.1482
2377050700;Siebeldingen Queich;12.4.2021;1.3048
2377050700;Siebeldingen Queich;13.4.2021;1.0287
2377050700;Siebeldingen Queich;14.4.2021;0.9937
2377050700;Siebeldingen Queich;15.4.2021;0.9826
2377050700;Siebeldingen Queich;16.4.2021;0.9785
2377050700;Siebeldingen Queich;17.4.2021;0.9639
2377050700;Siebeldingen Queich;18.4.2021;0.9704
2377050700;Siebeldingen Queich;19.4.2021;1.0131
2377050700;Siebeldingen Queich;20.4.2021;0.9986
2377050700;Siebeldingen Queich;21.4.2021;0.9785
2377050700;Siebeldingen Queich;22.4.2021;0.9478
2377050700;Siebeldingen Queich;23.4.2021;0.9164
2377050700;Siebeldingen Queich;24.4.2021;0.9017
2377050700;Siebeldingen Queich;25.4.2021;0.8977
2377050700;Siebeldingen Queich;26.4.2021;0.8966
2377050700;Siebeldingen Queich;27.4.2021;0.9147
2377050700;Siebeldingen Queich;28.4.2021;0.9347
2377050700;Siebeldingen Queich;29.4.2021;1.0393
2377050700;Siebeldingen Queich;30.4.2021;0.9331
2377050700;Siebeldingen Queich;1.5.2021;0.8978
2377050700;Siebeldingen Queich;2.5.2021;0.8877
2377050700;Siebeldingen Queich;3.5.2021;0.8449
2377050700;Siebeldingen Queich;4.5.2021;0.9244
2377050700;Siebeldingen Queich;5.5.2021;0.9897
2377050700;Siebeldingen Queich;6.5.2021;1.0133
2377050700;Siebeldingen Queich;7.5.2021;1.0364
2377050700;Siebeldingen Queich;8.5.2021;0.8883
2377050700;Siebeldingen Queich;9.5.2021;0.895
2377050700;Siebeldingen Queich;10.5.2021;0.9747
2377050700;Siebeldingen Queich;11.5.2021;1.3283
2377050700;Siebeldingen Queich;12.5.2021;1.0653
2377050700;Siebeldingen Queich;13.5.2021;0.9939
2377050700;Siebeldingen Queich;14.5.2021;1.2713
2377050700;Siebeldingen Queich;15.5.2021;1.2602
2377050700;Siebeldingen Queich;16.5.2021;1.3081
2377050700;Siebeldingen Queich;17.5.2021;1.4372
2377050700;Siebeldingen Queich;18.5.2021;1.7091
2377050700;Siebeldingen Queich;19.5.2021;1.2162
2377050700;Siebeldingen Queich;20.5.2021;1.0656
2377050700;Siebeldingen Queich;21.5.2021;1.019
2377050700;Siebeldingen Queich;22.5.2021;1.3604
2377050700;Siebeldingen Queich;23.5.2021;1.0545
2377050700;Siebeldingen Queich;24.5.2021;0.993
2377050700;Siebeldingen Queich;25.5.2021;1.1279
2377050700;Siebeldingen Queich;26.5.2021;1.2561
2377050700;Siebeldingen Queich;27.5.2021;1.1167
2377050700;Siebeldingen Queich;28.5.2021;0.9892
2377050700;Siebeldingen Queich;29.5.2021;0.9296
2377050700;Siebeldingen Queich;30.5.2021;0.8933
2377050700;Siebeldingen Queich;31.5.2021;0.8889
2377050700;Siebeldingen Queich;1.6.2021;0.877
2377050700;Siebeldingen Queich;2.6.2021;0.8737
2377050700;Siebeldingen Queich;3.6.2021;1.0055
2377050700;Siebeldingen Queich;4.6.2021;1.0745
2377050700;Siebeldingen Queich;5.6.2021;1.1309
2377050700;Siebeldingen Queich;6.6.2021;1.0404
2377050700;Siebeldingen Queich;7.6.2021;0.9338
2377050700;Siebeldingen Queich;8.6.2021;0.9215
2377050700;Siebeldingen Queich;9.6.2021;0.9928
2377050700;Siebeldingen Queich;10.6.2021;1.5392
2377050700;Siebeldingen Queich;11.6.2021;1.0347
2377050700;Siebeldingen Queich;12.6.2021;0.879
2377050700;Siebeldingen Queich;13.6.2021;0.8038
2377050700;Siebeldingen Queich;14.6.2021;0.7808
2377050700;Siebeldingen Queich;15.6.2021;0.7646
2377050700;Siebeldingen Queich;16.6.2021;0.7688
2377050700;Siebeldingen Queich;17.6.2021;0.7625
2377050700;Siebeldingen Queich;18.6.2021;0.9233
2377050700;Siebeldingen Queich;19.6.2021;0.987
2377050700;Siebeldingen Queich;20.6.2021;0.9852
2377050700;Siebeldingen Queich;21.6.2021;1.4582
2377050700;Siebeldingen Queich;22.6.2021;1.615
2377050700;Siebeldingen Queich;23.6.2021;1.1017
2377050700;Siebeldingen Queich;24.6.2021;2.7841
2377050700;Siebeldingen Queich;25.6.2021;2.4728
2377050700;Siebeldingen Queich;26.6.2021;1.2182
2377050700;Siebeldingen Queich;27.6.2021;1.0455
2377050700;Siebeldingen Queich;28.6.2021;1.0015
2377050700;Siebeldingen Queich;29.6.2021;2.1803
